MTU,Day-ahead Price (EUR/MWh),negative_price,start_time,hour,month,weekday,weekend
01/01/2026 00:00:00 - 01/01/2026 00:15:00,78.11,0,2026-01-01 00:00:00,0.0,1.0,Thursday,0
01/01/2026 00:15:00 - 01/01/2026 00:30:00,68.99,0,2026-01-01 00:15:00,0.0,1.0,Thursday,0
01/01/2026 00:30:00 - 01/01/2026 00:45:00,69.75,0,2026-01-01 00:30:00,0.0,1.0,Thursday,0
01/01/2026 00:45:00 - 01/01/2026 01:00:00,58.72,0,2026-01-01 00:45:00,0.0,1.0,Thursday,0
01/01/2026 01:00:00 - 01/01/2026 01:15:00,72.94,0,2026-01-01 01:00:00,1.0,1.0,Thursday,0
01/01/2026 01:15:00 - 01/01/2026 01:30:00,59.74,0,2026-01-01 01:15:00,1.0,1.0,Thursday,0
01/01/2026 01:30:00 - 01/01/2026 01:45:00,60.53,0,2026-01-01 01:30:00,1.0,1.0,Thursday,0
01/01/2026 01:45:00 - 01/01/2026 02:00:00,48.39,0,2026-01-01 01:45:00,1.0,1.0,Thursday,0
01/01/2026 02:00:00 - 01/01/2026 02:15:00,57.46,0,2026-01-01 02:00:00,2.0,1.0,Thursday,0
01/01/2026 02:15:00 - 01/01/2026 02:30:00,49.88,0,2026-01-01 02:15:00,2.0,1.0,Thursday,0
01/01/2026 02:30:00 - 01/01/2026 02:45:00,35.0,0,2026-01-01 02:30:00,2.0,1.0,Thursday,0
01/01/2026 02:45:00 - 01/01/2026 03:00:00,33.41,0,2026-01-01 02:45:00,2.0,1.0,Thursday,0
01/01/2026 03:00:00 - 01/01/2026 03:15:00,31.25,0,2026-01-01 03:00:00,3.0,1.0,Thursday,0
01/01/2026 03:15:00 - 01/01/2026 03:30:00,24.55,0,2026-01-01 03:15:00,3.0,1.0,Thursday,0
01/01/2026 03:30:00 - 01/01/2026 03:45:00,29.98,0,2026-01-01 03:30:00,3.0,1.0,Thursday,0
01/01/2026 03:45:00 - 01/01/2026 04:00:00,30.53,0,2026-01-01 03:45:00,3.0,1.0,Thursday,0
01/01/2026 04:00:00 - 01/01/2026 04:15:00,25.32,0,2026-01-01 04:00:00,4.0,1.0,Thursday,0
01/01/2026 04:15:00 - 01/01/2026 04:30:00,24.52,0,2026-01-01 04:15:00,4.0,1.0,Thursday,0
01/01/2026 04:30:00 - 01/01/2026 04:45:00,29.68,0,2026-01-01 04:30:00,4.0,1.0,Thursday,0
01/01/2026 04:45:00 - 01/01/2026 05:00:00,16.47,0,2026-01-01 04:45:00,4.0,1.0,Thursday,0
01/01/2026 05:00:00 - 01/01/2026 05:15:00,24.13,0,2026-01-01 05:00:00,5.0,1.0,Thursday,0
01/01/2026 05:15:00 - 01/01/2026 05:30:00,13.43,0,2026-01-01 05:15:00,5.0,1.0,Thursday,0
01/01/2026 05:30:00 - 01/01/2026 05:45:00,25.61,0,2026-01-01 05:30:00,5.0,1.0,Thursday,0
01/01/2026 05:45:00 - 01/01/2026 06:00:00,19.55,0,2026-01-01 05:45:00,5.0,1.0,Thursday,0
01/01/2026 06:00:00 - 01/01/2026 06:15:00,47.42,0,2026-01-01 06:00:00,6.0,1.0,Thursday,0
01/01/2026 06:15:00 - 01/01/2026 06:30:00,23.58,0,2026-01-01 06:15:00,6.0,1.0,Thursday,0
01/01/2026 06:30:00 - 01/01/2026 06:45:00,38.92,0,2026-01-01 06:30:00,6.0,1.0,Thursday,0
01/01/2026 06:45:00 - 01/01/2026 07:00:00,21.12,0,2026-01-01 06:45:00,6.0,1.0,Thursday,0
01/01/2026 07:00:00 - 01/01/2026 07:15:00,31.72,0,2026-01-01 07:00:00,7.0,1.0,Thursday,0
01/01/2026 07:15:00 - 01/01/2026 07:30:00,30.08,0,2026-01-01 07:15:00,7.0,1.0,Thursday,0
01/01/2026 07:30:00 - 01/01/2026 07:45:00,22.83,0,2026-01-01 07:30:00,7.0,1.0,Thursday,0
01/01/2026 07:45:00 - 01/01/2026 08:00:00,13.91,0,2026-01-01 07:45:00,7.0,1.0,Thursday,0
01/01/2026 08:00:00 - 01/01/2026 08:15:00,48.78,0,2026-01-01 08:00:00,8.0,1.0,Thursday,0
01/01/2026 08:15:00 - 01/01/2026 08:30:00,39.31,0,2026-01-01 08:15:00,8.0,1.0,Thursday,0
01/01/2026 08:30:00 - 01/01/2026 08:45:00,30.32,0,2026-01-01 08:30:00,8.0,1.0,Thursday,0
01/01/2026 08:45:00 - 01/01/2026 09:00:00,10.38,0,2026-01-01 08:45:00,8.0,1.0,Thursday,0
01/01/2026 09:00:00 - 01/01/2026 09:15:00,46.05,0,2026-01-01 09:00:00,9.0,1.0,Thursday,0
01/01/2026 09:15:00 - 01/01/2026 09:30:00,26.44,0,2026-01-01 09:15:00,9.0,1.0,Thursday,0
01/01/2026 09:30:00 - 01/01/2026 09:45:00,23.7,0,2026-01-01 09:30:00,9.0,1.0,Thursday,0
01/01/2026 09:45:00 - 01/01/2026 10:00:00,10.87,0,2026-01-01 09:45:00,9.0,1.0,Thursday,0
01/01/2026 10:00:00 - 01/01/2026 10:15:00,36.58,0,2026-01-01 10:00:00,10.0,1.0,Thursday,0
