MTU (WET/WEST);Area;Sequence;Day-ahead Price (EUR/MWh);Intraday Period (WET/WEST);Intraday Price (EUR/MWh)
"01/01/2026 00:00:00 - 01/01/2026 00:15:00,""BZN|FR"",""Without Sequence"",""78.11"","""",""""";;;;;
"01/01/2026 00:15:00 - 01/01/2026 00:30:00,""BZN|FR"",""Without Sequence"",""68.99"","""",""""";;;;;
"01/01/2026 00:30:00 - 01/01/2026 00:45:00,""BZN|FR"",""Without Sequence"",""69.75"","""",""""";;;;/;
"01/01/2026 00:45:00 - 01/01/2026 01:00:00,""BZN|FR"",""Without Sequence"",""58.72"","""",""""";;;;;
"01/01/2026 01:00:00 - 01/01/2026 01:15:00,""BZN|FR"",""Without Sequence"",""72.94"","""",""""";;;;;
"01/01/2026 01:15:00 - 01/01/2026 01:30:00,""BZN|FR"",""Without Sequence"",""59.74"","""",""""";;;;;
"01/01/2026 01:30:00 - 01/01/2026 01:45:00,""BZN|FR"",""Without Sequence"",""60.53"","""",""""";;;;;
"01/01/2026 01:45:00 - 01/01/2026 02:00:00,""BZN|FR"",""Without Sequence"",""48.39"","""",""""";;;;;
"01/01/2026 02:00:00 - 01/01/2026 02:15:00,""BZN|FR"",""Without Sequence"",""57.46"","""",""""";;;;;
"01/01/2026 02:15:00 - 01/01/2026 02:30:00,""BZN|FR"",""Without Sequence"",""49.88"","""",""""";;;;;
"01/01/2026 02:30:00 - 01/01/2026 02:45:00,""BZN|FR"",""Without Sequence"",""35.00"","""",""""";;;;;
"01/01/2026 02:45:00 - 01/01/2026 03:00:00,""BZN|FR"",""Without Sequence"",""33.41"","""",""""";;;;;
"01/01/2026 03:00:00 - 01/01/2026 03:15:00,""BZN|FR"",""Without Sequence"",""31.25"","""",""""";;;;;
"01/01/2026 03:15:00 - 01/01/2026 03:30:00,""BZN|FR"",""Without Sequence"",""24.55"","""",""""";;;;;
"01/01/2026 03:30:00 - 01/01/2026 03:45:00,""BZN|FR"",""Without Sequence"",""29.98"","""",""""";;;;;
"01/01/2026 03:45:00 - 01/01/2026 04:00:00,""BZN|FR"",""Without Sequence"",""30.53"","""",""""";;;;;
"01/01/2026 04:00:00 - 01/01/2026 04:15:00,""BZN|FR"",""Without Sequence"",""25.32"","""",""""";;;;;
"01/01/2026 04:15:00 - 01/01/2026 04:30:00,""BZN|FR"",""Without Sequence"",""24.52"","""",""""";;;;;
"01/01/2026 04:30:00 - 01/01/2026 04:45:00,""BZN|FR"",""Without Sequence"",""29.68"","""",""""";;;;;
"01/01/2026 04:45:00 - 01/01/2026 05:00:00,""BZN|FR"",""Without Sequence"",""16.47"","""",""""";;;;;
"01/01/2026 05:00:00 - 01/01/2026 05:15:00,""BZN|FR"",""Without Sequence"",""24.13"","""",""""";;;;;
"01/01/2026 05:15:00 - 01/01/2026 05:30:00,""BZN|FR"",""Without Sequence"",""13.43"","""",""""";;;;;
"01/01/2026 05:30:00 - 01/01/2026 05:45:00,""BZN|FR"",""Without Sequence"",""25.61"","""",""""";;;;;
"01/01/2026 05:45:00 - 01/01/2026 06:00:00,""BZN|FR"",""Without Sequence"",""19.55"","""",""""";;;;;
"01/01/2026 06:00:00 - 01/01/2026 06:15:00,""BZN|FR"",""Without Sequence"",""47.42"","""",""""";;;;;
"01/01/2026 06:15:00 - 01/01/2026 06:30:00,""BZN|FR"",""Without Sequence"",""23.58"","""",""""";;;;;
"01/01/2026 06:30:00 - 01/01/2026 06:45:00,""BZN|FR"",""Without Sequence"",""38.92"","""",""""";;;;;
"01/01/2026 06:45:00 - 01/01/2026 07:00:00,""BZN|FR"",""Without Sequence"",""21.12"","""",""""";;;;;
"01/01/2026 07:00:00 - 01/01/2026 07:15:00,""BZN|FR"",""Without Sequence"",""31.72"","""",""""";;;;;
"01/01/2026 07:15:00 - 01/01/2026 07:30:00,""BZN|FR"",""Without Sequence"",""30.08"","""",""""";;;;;
"01/01/2026 07:30:00 - 01/01/2026 07:45:00,""BZN|FR"",""Without Sequence"",""22.83"","""",""""";;;;;
"01/01/2026 07:45:00 - 01/01/2026 08:00:00,""BZN|FR"",""Without Sequence"",""13.91"","""",""""";;;;;
"01/01/2026 08:00:00 - 01/01/2026 08:15:00,""BZN|FR"",""Without Sequence"",""48.78"","""",""""";;;;;
"01/01/2026 08:15:00 - 01/01/2026 08:30:00,""BZN|FR"",""Without Sequence"",""39.31"","""",""""";;;;;
"01/01/2026 08:30:00 - 01/01/2026 08:45:00,""BZN|FR"",""Without Sequence"",""30.32"","""",""""";;;;;
